"Issue Type","Summary","Epic Name","Epic Link","Description","Story Points","Sprint","Priority","Labels","Reporter"
"Story","Presentar en el inicio los platos del proximo dia de atencion","","Carta digital","OBJETIVO
Que al abrir la aplicacion se sepa cuando abren y que habra de comer.

CRITERIOS DE ACEPTACION
- La cabecera indica el proximo dia de atencion con su horario
- Se listan los platos habilitados para esa fecha
- Se puede cambiar la fecha consultada y la carta se actualiza
- Si la fecha esta cerrada, se explica y se ofrece la siguiente fecha abierta

TRAZABILIDAD
RF-MEN02","5","Sprint 2","Highest","movil",""
"Story","Construir el detalle de plato con galeria de hasta 10 fotos","","Carta digital","OBJETIVO
Presentar el plato con la mayor fuerza visual posible.

CRITERIOS DE ACEPTACION
- La galeria admite hasta 10 fotos en relacion 4:3, con indicador de posicion
- Se muestran descripcion extendida, etiquetas dietarias y alergenos
- La pantalla se ve correcta cuando se abre en frio desde un enlace externo
- El retroceso lleva a la carta y no cierra la aplicacion

TRAZABILIDAD
RF-MEN03","5","Sprint 2","High","movil",""
"Story","Exponer la API de menu","","Carta digital","OBJETIVO
Servir la carta al cliente movil resolviendo la disponibilidad por fecha.

CRITERIOS DE ACEPTACION
- GET de categorias, platos y etiquetas con paginacion
- El endpoint acepta una fecha y devuelve la disponibilidad resuelta para ese dia
- Las respuestas estan documentadas en Swagger
- Los esquemas de validacion se comparten con el cliente desde packages/shared

TRAZABILIDAD
RF-MEN01 a RF-MEN06","5","Sprint 2","High","backend",""
"Story","Administrar categorias y platos","","Administración de carta y calendario","OBJETIVO
Que el dueno mantenga la carta sin depender de terceros.

CRITERIOS DE ACEPTACION
- Se pueden crear, editar, desactivar y reordenar categorias
- Se pueden crear y editar platos con todos sus campos
- La disponibilidad general de un plato se alterna desde la lista, sin abrir el detalle
- Un plato con favoritos o lineas de pedido se desactiva en lugar de eliminarse, y se informa

TRAZABILIDAD
RF-ADM01, RF-ADM02, RF-ADM04","8","Sprint 2","Highest","movil,backend",""
"Story","Cargar y procesar fotografias de platos","","Administración de carta y calendario","OBJETIVO
Resolver el almacenamiento de imagenes y dejar lista la variante para compartir.

CRITERIOS DE ACEPTACION
- Se admiten hasta 10 fotos por plato, reordenables, con una marcada como principal
- La imagen se comprime con sharp en el backend antes de almacenarse
- Se genera una variante de 1200x630 px por debajo de 600 KB para la vista previa social
- La URL de la imagen se versiona con un fragmento derivado de la fecha de actualizacion
- Una imagen demasiado pesada produce un mensaje explicativo, no un fallo silencioso

TRAZABILIDAD
RF-ADM02, C-7","8","Sprint 2","High","backend",""
"Story","Gestionar la disponibilidad de platos por fecha","","Administración de carta y calendario","OBJETIVO
Reflejar que el restaurante habilita platos especiales segun el dia.

CRITERIOS DE ACEPTACION
- El dueno marca, para una fecha concreta, que platos estan habilitados
- La disponibilidad por fecha prevalece sobre la disponibilidad general del plato
- Existe la accion de copiar la seleccion de otra fecha
- La carta del comensal refleja el cambio al consultar esa fecha

TRAZABILIDAD
RF-ADM03, ADR-010","8","Sprint 2","Highest","movil,backend",""
"Story","Configurar el calendario de atencion","","Administración de carta y calendario","OBJETIVO
Representar una operacion discontinua: fines de semana, festivos y aperturas por reserva.

CRITERIOS DE ACEPTACION
- Se definen reglas semanales de apertura con su horario
- Se marcan excepciones por fecha, que prevalecen sobre la regla semanal
- Un dia puede marcarse como solo por reserva
- Al cerrar un dia con reservas confirmadas, el sistema advierte cuantas se verian afectadas

TRAZABILIDAD
RF-ADM06, HU-05","8","Sprint 2","Highest","movil,backend",""
"Story","Cubrir con pruebas la resolucion de disponibilidad por fecha","","Calidad, entrega y sustentacion","OBJETIVO
Blindar la regla de precedencia, que es facil de romper sin darse cuenta.

CRITERIOS DE ACEPTACION
- Hay pruebas para plato habilitado solo por fecha, deshabilitado solo por fecha y sin registro
- Hay una prueba que verifica que la carta filtra por la fecha elegida y no por la del dia actual
- Las pruebas corren en local con una base de datos de prueba

TRAZABILIDAD
RNF-12","3","Sprint 2","Medium","backend,calidad",""
"Story","Calcular las franjas horarias disponibles","","Motor de reservas","OBJETIVO
Ofrecer solo horarios que existen de verdad para la fecha consultada.

CRITERIOS DE ACEPTACION
- Las franjas se generan a partir del calendario, la duracion y la granularidad configuradas
- Una fecha cerrada no ofrece franjas y lo explica
- En dias solo por reserva se exige el minimo de personas configurado
- Las franjas sin aforo restante se presentan como no seleccionables

TRAZABILIDAD
RF-RES01, RF-RES02, RF-RES17","8","Sprint 3","Highest","backend,movil",""
"Story","Validar el aforo dentro de una transaccion serializable","","Motor de reservas","OBJETIVO
Impedir que dos solicitudes concurrentes superen la capacidad del restaurante.

CRITERIOS DE ACEPTACION
- La lectura de ocupacion y la insercion de la reserva ocurren en la misma transaccion
- El nivel de aislamiento es serializable o equivalente con bloqueo explicito
- Un conflicto se traduce en un mensaje de negocio, no en un error tecnico
- Existe una prueba que lanza dos solicitudes concurrentes por el ultimo cupo y verifica que solo una prospera

TRAZABILIDAD
ADR-005","5","Sprint 3","Highest","backend",""
"Story","Construir el flujo de reserva en cuatro pasos","","Motor de reservas","OBJETIVO
Llevar al comensal desde la fecha hasta el envio de la solicitud. Subtareas sugeridas: paso 1 fecha y comensales; paso 2 franja; paso 3 pedido opcional; paso 4 resumen y envio.

CRITERIOS DE ACEPTACION
- Sin sesion, el flujo desvia al inicio de sesion y regresa conservando lo seleccionado
- El paso 3 es opcional y ofrece Continuar sin pedido desde el primer momento
- El paso 3 lista solo los platos habilitados para la fecha elegida
- El paso 4 muestra el resumen, el total sin impuestos y la politica de cancelacion
- El boton final dice Enviar solicitud, no Confirmar reserva
- El boton fisico de retroceso de Android retrocede paso a paso, sin salir del flujo
- La interfaz no usa lenguaje ni patrones de comercio electronico: sin carrito ni checkout

TRAZABILIDAD
RF-RES03 a RF-RES06","13","Sprint 3","Highest","movil",""
"Story","Calcular el total y generar el ticket de la reserva","","Motor de reservas","OBJETIVO
Producir el detalle que el dueno pegara en el grupo de cocina.

CRITERIOS DE ACEPTACION
- El total es la suma de cantidad por precio unitario, sin impuestos
- El precio se copia en la linea al momento de solicitar, para que un cambio de carta no altere reservas emitidas
- El ticket se genera en texto plano legible, con codigo, fecha, franja, comensales y detalle
- Una reserva sin pedido tambien genera ticket, sin lineas

TRAZABILIDAD
RF-RES05, RF-RES18","5","Sprint 3","High","backend",""
"Story","Disenar la pantalla de solicitud enviada con instrucciones de pago","","Motor de reservas","OBJETIVO
Dejar claro que la reserva todavia no esta confirmada y que falta un paso humano.

CRITERIOS DE ACEPTACION
- Se muestra el codigo de reserva, seleccionable y copiable
- Se presentan las instrucciones de pago con monto, medios y numero del dueno
- La accion principal abre WhatsApp con un mensaje prellenado que incluye el codigo
- Un aviso explica que la reserva queda confirmada cuando el restaurante verifique el pago
- El icono y el titulo comunican envio, no exito

TRAZABILIDAD
RF-RES07","3","Sprint 3","Highest","movil",""
"Story","Construir la bandeja de solicitudes con aprobacion y rechazo","","Aprobación y operación del servicio","OBJETIVO
Que el dueno resuelva las solicitudes desde el telefono, entre servicio y servicio.

CRITERIOS DE ACEPTACION
- Las solicitudes se listan ordenadas por fecha de reserva, con comensales, pedido y total
- Se muestra el numero de cancelaciones previas del usuario como alerta discreta
- Aprobar cambia el estado a CONFIRMADA y notifica al comensal
- Rechazar exige un motivo, cambia el estado a RECHAZADA y notifica con ese motivo
- Las solicitudes proximas a expirar se resaltan

TRAZABILIDAD
RF-RES09, RF-ADM08, RF-ADM11","8","Sprint 3","Highest","movil,backend",""
"Story","Implementar la maquina de estados de la reserva","","Motor de reservas","OBJETIVO
Centralizar las transiciones validas en el servicio de dominio.

CRITERIOS DE ACEPTACION
- Las transiciones siguen el diagrama de Sprint0 §9.4
- Una transicion invalida se rechaza con un error de negocio explicito
- La validacion vive en el servicio de dominio, no en el controlador ni en la interfaz
- Hay pruebas unitarias por cada transicion valida e invalida

TRAZABILIDAD
Sprint0 §9.4","5","Sprint 3","High","backend",""
"Story","Construir mis reservas, detalle y cancelacion","","Motor de reservas","OBJETIVO
Que el comensal siga el estado de su solicitud y pueda desistir a tiempo.

CRITERIOS DE ACEPTACION
- La lista separa proximas e historial, con las solicitudes pendientes arriba
- El detalle muestra el estado, el codigo, el pedido y el motivo de rechazo si aplica
- Se puede cancelar hasta una hora antes de la reserva
- Fuera de la ventana, la accion aparece deshabilitada explicando el motivo

TRAZABILIDAD
RF-RES11, RF-RES12","5","Sprint 3","High","movil,backend",""
"Story","Construir la agenda del dia y el marcado de llegada","","Aprobación y operación del servicio","OBJETIVO
Dar al personal una vista operable durante el servicio.

CRITERIOS DE ACEPTACION
- Las reservas del dia se listan por hora, con nombre, comensales, estado y nota
- La accion Llego cambia el estado a EN_CURSO
- Las reservas que pasan la tolerancia se senalan como candidatas a inasistencia
- La pantalla es legible a 50 cm de distancia y con poca luz

TRAZABILIDAD
RF-ADM09, RF-ADM10","5","Sprint 3","High","movil,backend",""
"Story","Cubrir con pruebas el aforo y las transiciones de estado","","Calidad, entrega y sustentacion","OBJETIVO
Proteger las dos reglas donde la generacion asistida falla con mas frecuencia.

CRITERIOS DE ACEPTACION
- Hay pruebas de concurrencia sobre el aforo
- Hay pruebas de todas las transiciones de la maquina de estados
- Hay pruebas de integracion sobre los endpoints de solicitud y aprobacion
- El reporte de cobertura se genera en local

TRAZABILIDAD
RNF-12","5","Sprint 3","Medium","backend,calidad",""
"Story","Construir el muro de noticias y su detalle","","Noticias y contenido","OBJETIVO
Dar al restaurante un canal propio para anunciar dias de atencion y eventos.

CRITERIOS DE ACEPTACION
- Las publicaciones se listan en orden cronologico inverso
- La publicacion fijada aparece arriba con distintivo
- El detalle muestra imagen, texto completo y enlaces externos pulsables
- Existe estado vacio y caché para lectura sin conexion

TRAZABILIDAD
RF-NOT01, RF-NOT02, RF-NOT04","5","Sprint 4","High","movil",""
"Story","Administrar noticias","","Noticias y contenido","OBJETIVO
Que el dueno publique sin ayuda tecnica.

CRITERIOS DE ACEPTACION
- Se puede crear, editar, publicar y despublicar una noticia
- Se admite imagen, texto y una lista de enlaces
- Se puede fijar una publicacion en la parte superior
- Los borradores no son visibles para el comensal

TRAZABILIDAD
RF-NOT03, RF-NOT04","8","Sprint 4","High","movil,backend",""
"Story","Publicar la capa web con la pagina de plato renderizada en servidor","","Difusion, capa web y deep links","OBJETIVO
Habilitar la vista previa de WhatsApp, que no funciona con renderizado en cliente.

CRITERIOS DE ACEPTACION
- La ruta /plato/[slug] se renderiza en servidor
- La pagina consulta los datos del plato por slug
- Existe tambien /noticia/[id]
- La pagina invita a instalar la aplicacion cuando el visitante no la tiene

TRAZABILIDAD
RF-INF04, ADR-004","8","Sprint 4","Highest","web",""
"Story","Configurar los metadatos Open Graph y verificar la vista previa","","Difusion, capa web y deep links","OBJETIVO
Que la tarjeta de WhatsApp muestre la fotografia del plato.

CRITERIOS DE ACEPTACION
- La pagina expone og:title, og:description y og:image
- La imagen es la variante de 1200x630 px por debajo de 600 KB
- La URL de la imagen esta versionada para sortear el cache de WhatsApp
- La vista previa se verifica con la herramienta de depuracion y con un envio real

TRAZABILIDAD
RF-INF04","5","Sprint 4","Highest","web",""
"Story","Desplegar la capa web en Vercel con dominio y HTTPS","","Difusion, capa web y deep links","OBJETIVO
Tener una URL publica estable para compartir y para alojar la APK.

CRITERIOS DE ACEPTACION
- El despliegue se dispara desde el repositorio
- El dominio responde por HTTPS con certificado gestionado
- La ruta de descarga de la APK esta prevista","3","Sprint 4","High","web,infra",""
"Story","Agregar la accion de compartir en el detalle de plato","","Difusion, capa web y deep links","OBJETIVO
Permitir recomendar un plato desde la aplicacion.

CRITERIOS DE ACEPTACION
- La accion abre la hoja de compartir del sistema
- El texto incluye el nombre del plato y el enlace publico
- La accion se oculta cuando el plato no esta disponible

TRAZABILIDAD
RF-INF04","3","Sprint 4","Medium","movil",""
"Story","Configurar Android App Links","","Difusion, capa web y deep links","OBJETIVO
Que el enlace compartido abra la aplicacion en lugar del navegador.

CRITERIOS DE ACEPTACION
- assetlinks.json esta publicado en el dominio
- El intent-filter esta declarado con autoVerify
- Estan registradas las huellas SHA-256 de los certificados de depuracion y de publicacion
- La verificacion se comprueba en un dispositivo fisico

TRAZABILIDAD
RF-INF05","8","Sprint 4","High","movil,web",""
"Story","Enrutar los enlaces entrantes hacia la pantalla correspondiente","","Difusion, capa web y deep links","OBJETIVO
Que el enlace lleve al detalle exacto y no a la pantalla de inicio.

CRITERIOS DE ACEPTACION
- Un enlace de plato abre P-02 con ese plato
- Un enlace de noticia abre P-12
- Si la aplicacion estaba cerrada, el enrutamiento funciona igual
- El retroceso desde una apertura en frio lleva a la pestana correspondiente

TRAZABILIDAD
RF-INF05","5","Sprint 4","Medium","movil",""
"Story","Construir la pantalla Proximamente","","Noticias y contenido","OBJETIVO
Anticipar la pista de motos y la zona de pesca sin prometer fechas.

CRITERIOS DE ACEPTACION
- Dos tarjetas informativas con fotografia, titulo y descripcion
- Insignia Proximamente visible en cada tarjeta
- Nota al pie que invita a consultar por WhatsApp
- Ningun control parece pulsable si no lleva a ningun lado

TRAZABILIDAD
RF-INF06","3","Sprint 4","Low","movil",""
"Story","Construir la pantalla de informacion y mapa","","Noticias y contenido","OBJETIVO
Que el comensal sepa donde queda el restaurante y como llegar.

CRITERIOS DE ACEPTACION
- El mapa se renderiza con MapLibre y muestra el marcador del restaurante
- Se presentan direccion, telefono y calendario de atencion con el proximo dia resaltado
- La accion Como llegar abre la aplicacion de mapas del dispositivo
- Existe la accion de escribir por WhatsApp, y una nota sobre la zona Mirador

TRAZABILIDAD
RF-INF01, RF-INF02, RF-INF03","5","Sprint 4","Medium","movil",""
"Story","Integrar FCM y registrar el dispositivo","","Notificaciones","OBJETIVO
Establecer el canal de notificaciones push.

CRITERIOS DE ACEPTACION
- El token de push se registra al iniciar sesion y se actualiza al renovarse
- google-services.json esta configurado y fuera del control de versiones
- Notifee presenta las notificaciones con canales diferenciados
- Si el permiso fue denegado, la aplicacion explica como habilitarlo

TRAZABILIDAD
RF-INF07","5","Sprint 5","Highest","movil,backend",""
"Story","Notificar al dueno la llegada de una solicitud","","Notificaciones","OBJETIVO
Que el dueno se entere sin tener que abrir la aplicacion.

CRITERIOS DE ACEPTACION
- La notificacion push llega con la aplicacion cerrada
- Se envia tambien un correo con el detalle de la solicitud
- Al pulsar la notificacion se abre la bandeja de solicitudes en esa reserva
- Si hay varias cuentas con rol de dueno, todas reciben el aviso

TRAZABILIDAD
RF-RES08","8","Sprint 5","Highest","backend,movil",""
"Story","Notificar al comensal la aprobacion o el rechazo","","Notificaciones","OBJETIVO
Cerrar el ciclo de espera del comensal.

CRITERIOS DE ACEPTACION
- La aprobacion genera notificacion con fecha, franja y codigo
- El rechazo genera notificacion con el motivo indicado por el dueno
- Al pulsar la notificacion se abre el detalle de la reserva

TRAZABILIDAD
RF-RES10","3","Sprint 5","Highest","backend,movil",""
"Story","Programar el recordatorio previo a la reserva","","Notificaciones","OBJETIVO
Reducir la inasistencia.

CRITERIOS DE ACEPTACION
- El recordatorio se programa en el servidor, no en el dispositivo
- Se envia con la anticipacion configurada e incluye franja, comensales y codigo
- Una reserva cancelada o rechazada no genera recordatorio
- El envio queda registrado en la tabla de notificaciones

TRAZABILIDAD
RF-RES14","5","Sprint 5","High","backend",""
"Story","Expirar solicitudes sin aprobar y marcar inasistencias","","Notificaciones","OBJETIVO
Evitar que la bandeja del dueno se llene de solicitudes muertas.

CRITERIOS DE ACEPTACION
- Una tarea programada expira las solicitudes que superan el plazo configurado
- Otra tarea marca NO_ASISTIO tras los 30 minutos de tolerancia
- El comensal recibe aviso cuando su solicitud expira
- Las tareas son idempotentes y no reprocesan registros ya resueltos

TRAZABILIDAD
RF-RES13, RF-RES14","5","Sprint 5","High","backend",""
"Story","Permitir administrar las preferencias de notificacion","","Notificaciones","OBJETIVO
Dar control sobre que avisos se reciben.

CRITERIOS DE ACEPTACION
- El usuario activa o desactiva cada tipo de notificacion
- Las preferencias se respetan en el envio
- Las notificaciones de reserva propia no pueden desactivarse por completo

TRAZABILIDAD
RF-INF08","3","Sprint 5","Low","movil,backend",""
"Story","Implementar TOTP y proteger las acciones sensibles","","Seguridad y control de acceso","OBJETIVO
Reducir el riesgo de una sesion de dueno comprometida.

CRITERIOS DE ACEPTACION
- El dueno activa el segundo factor escaneando un codigo QR con una aplicacion TOTP
- El secreto se cifra en reposo y se generan codigos de respaldo de un solo uso
- Las acciones sensibles exigen un codigo vigente: cambio de rol, calendario, eliminaciones y cancelacion masiva
- Tres codigos invalidos consecutivos aplican espera creciente y quedan en bitacora

TRAZABILIDAD
RF-AUT06, RF-AUT07","8","Sprint 5","High","backend,movil",""
"Story","Implementar verificacion de correo y recuperacion de contrasena","","Autenticación y cuenta","OBJETIVO
Cerrar los flujos de cuenta que quedaron pendientes del Sprint 1.

CRITERIOS DE ACEPTACION
- El registro envia un codigo de verificacion por correo
- La recuperacion envia un codigo con reenvio temporizado
- Los codigos expiran y son de un solo uso
- El correo se envia con Resend

TRAZABILIDAD
RF-AUT02, RF-AUT05","5","Sprint 5","Medium","backend,movil",""
"Story","Agregar busqueda, filtros y favoritos","","Carta digital","OBJETIVO
Facilitar encontrar un plato en una carta larga.

CRITERIOS DE ACEPTACION
- La busqueda opera sobre nombre e ingrediente declarado
- Los filtros cubren categoria, etiqueta dietaria y rango de precio
- El comensal marca y consulta favoritos
- Existen estados de busqueda vacia y sin resultados

TRAZABILIDAD
RF-MEN04, RF-MEN05, RF-MEN07","8","Sprint 5","Medium","movil,backend",""
"Story","Guardar la carta para lectura sin conexion","","Carta digital","OBJETIVO
Que la aplicacion sirva en zona rural con senal debil.

CRITERIOS DE ACEPTACION
- La ultima carta consultada se guarda en MMKV
- Sin conexion se muestra lo guardado con aviso de posible desactualizacion
- La estrategia es solo lectura: no se encolan escrituras

TRAZABILIDAD
RF-MEN08, C-17","3","Sprint 5","Medium","movil",""
"Story","Permitir adicionar platos a una reserva aprobada","","Motor de reservas","OBJETIVO
Cubrir el caso real de que el cliente quiera pedir algo mas.

CRITERIOS DE ACEPTACION
- Se pueden agregar lineas a una reserva CONFIRMADA
- Se calcula y muestra el excedente a pagar
- Se admite cambio por plato de igual o mayor precio, sin reembolso
- El dueno ve la adicion reflejada en la solicitud y puede volver a copiar el ticket

TRAZABILIDAD
RF-RES15, RF-RES16","5","Sprint 5","Low","movil,backend",""
"Story","Disenar los estados vacios, de carga y de error de toda la aplicacion","","Calidad, entrega y sustentacion","OBJETIVO
Cerrar el punto que mas retrabajo genera si se deja para el final.

CRITERIOS DE ACEPTACION
- Las nueve variantes de estado vacio del brief estan implementadas
- Los estados de carga usan esqueleto de contenido
- Existe un limite de error global mas estados de error por consulta
- Todo control deshabilitado explica por que lo esta

TRAZABILIDAD
RNF-09, RNF-10","5","Sprint 5","Medium","movil",""
"Story","Ejecutar pruebas de recorrido completo en dispositivos fisicos","","Calidad, entrega y sustentacion","OBJETIVO
Verificar los caminos criticos sobre hardware real antes de entregar.

CRITERIOS DE ACEPTACION
- Se recorren registro, consulta de carta, reserva con y sin pedido, cancelacion, aprobacion y publicacion de noticia
- Las pruebas se ejecutan en al menos dos dispositivos fisicos distintos
- Los defectos encontrados quedan registrados en Jira con su severidad","5","Sprint 6","Highest","calidad",""
"Story","Corregir defectos priorizados por severidad","","Calidad, entrega y sustentacion","OBJETIVO
Estabilizar el producto. La funcionalidad nueva queda congelada desde el 6 de noviembre.

CRITERIOS DE ACEPTACION
- Los defectos bloqueantes y criticos quedan resueltos
- Cada correccion se verifica sobre dispositivo
- No se integra funcionalidad nueva durante el sprint","8","Sprint 6","Highest","calidad",""
"Story","Medir los requisitos no funcionales","","Calidad, entrega y sustentacion","OBJETIVO
Obtener evidencia de que el producto cumple lo declarado.

CRITERIOS DE ACEPTACION
- Se mide el tiempo de carga de la carta y la latencia de la API
- Se registran el tamano del paquete y el consumo de memoria
- Los resultados quedan documentados para la sustentacion

TRAZABILIDAD
RNF-01, RNF-02","3","Sprint 6","Medium","calidad",""
